См	8	9	11	12	13	14	15	16	17	18	19	20	23	24	25	25а	26	26а	27	27a	28	29	30	31	32	33	34	35	35а	36	37	38	53	53а	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	99	100	101	105	106	144	03G	05G	07G	10G	50G	51G	54G	903RG	908RG	100G	144G	1200G	1201G	1208G	1209G	1228G	1229G	1407G	1441G	1519G	1520G	1569G	1602G	1615G	1722G	1780G	5103ПG	9102G	9503ABПG	14071G	9503аG
0																																																																																																																		
1	15	15	15	15	15	15	15	15	15	15	15		15	15	20	1	20	1	20	1	20	20	1	1			15	5	5		15	15	20	1	1	1	10	1	1	1	1	1	1	5					25	23	159			23	23		20	21	11	12	2			21			6	15				23	23	24	23	1	1	6			6	6	22	3	5	8	8	21	20	19	20	22	33	22	21	21	29	23	30	30	20	22	22		23	20	22		23	24	22	30	21	29
2	55	55	55	55	55	55	55	55	55	55	55		55	55	60	5	60	5	60	5	75	75	5	5			45	15	15		45	45	65	5	5	5	40	5	5	5	5	26	12	40					71	64	255			64	64	12	60	60	33	34	6			61	10		22					66	65	69	64	6	6	20			22	22	62	8	16	22	22	31	57	55	57	62	92	62	59	59	82	64	86	84	56	63	64		64	57	63		64	68	63	84	58	82
3	100	100	100	100	100	100	100	100	100	100	100		100	100	110	15	110	15	110	15	135	135	15	15			85	25	25		85	85	120	15	15	15	90	15	15	15	15	51	24	90		15	15	52	130	118	351	30	14	118	118	32	110	110	60	62	17	15	15	112	31	15	48	44			15	122	12	127	117	17	17	45	20	20	49	49	115	15	29	40	40	80	105	102	105	114	145	115	109	109	152	118	158	154	103	115	118		118	105	115		118	125	115	154	107	152
4	155	155	155	155	155	150	155	155	155	155	155		155	155	170	35	170	35	170	35	205	210	25	20			130	35	35		130	130	180	40	35	35	125	40	35	25	35	75	35	150	40	35	38	71	201	182	448	76	35	182	182	70	170	169	93	95	34	174	37	173	69	37	87	97	28	26	39	188	186	196	181	34	34	82	43	44	88	89	178	23	44	62	62	139	162	157	163	176	260	178	168	168	234	182	244	237	159	178	181		183	163	178		182	193	178	237	165	234
5	215	215	215	215	215	210	215	215	215	215	215		215	220	240	75	240	75	240	75	240	260	45	70			180	50	50		185	180	255	80	70	70	235	75	70	50	70	155	80	225	90	70	80	113	281	254	550	159	75	255	255	120	240	237	130	216	59	270	78	243	118	79	140	166	68	71	82	263	260	274	253	59	59	131	86	87	141	142	248	32	62	87	87	206	226	220	227	246	363	248	235	235	327	255	341	332	222	249	254		256	227	249		255	270	249	332	231	327
6	285	285	285	285	285	280	280	280	280	280	280		280	285	315	125	315	125	315	125	370	370	85	135			240	70	70		245	210	335	135	115	115	340	120	115	90	120	260	130	315	155	115	136	159	370	335	656	267	126	336	336	179	310	311	201	359	93	366	131	320	176	132	204	248	121	125	138	346	342	360	333	93	93	192	142	144	206	208	327	42	81	114	114	280	297	289	229	324	453	327	309	310	430	335	449	436	292	328	334		336	229	328		335	355	327	437	304	430
7	360	360	360	360	360	355	355	355	355	355	355		355	360	395	185	395	185	395	185	495	495	130	225			300	85	85		305	305	420	200	165	165	450	180	170	145	175	385	195	415	235	170	201	216	467	422	767	396	187	424	424	245	390	392	273	482	136	463	194	404	243	196	278	341	183	188	204	436	432	454	420	137	137	263	208	211	280	282	412	53	103	144	144	360	375	365	337	409	600	412	390	390	542	423	566	550	369	414	421		424	337	414		423	447	413	550	383	542
8	435	440	435	440	440	435	435	435	435	435	435		435	440	480	255	480	255	480	255	625	625	185	325			370	100	100		375	370	510	275	220	220	575	245	230	205	235	525	265	530	320	230	275	284	571	516	881	541	257	518	518	319	480	479	353	603	190	565	265	494	316	268	359	443	254	263	280	533	528	556	513	191	191	341	283	288	362	366	504	65	125	176	176	447	457	447	461	500	732	504	477	477	663	518	692	672	451	506	515		519	461	506		518	546	505	672	469	663
9	520	520	520	525	525	520	520	520	520	520	520		520	525	575	330	575	335	575	335	765	765	245	445			440	120	120		445	440	610	360	285	285	705	315	300	275	310	680	345	665	420	300	358	352	682	616	1000	702	334	619	619	399	570	572	440	725	244	671	344	589	396	348	449	555	332	331	363	636	631	664	613	255	256	426	366	372	451	456	602	78	150	210	210	539	545	534	551	597	849	602	569	570	791	618	826	803	539	604	615		619	551	605		618	651	603	802	559	791
10	610	610	610	610	610	605	605	610	610	605	605		610	615	675	410	675	415	675	415	915	915	315	575			515	145	140		520	515	715	450	355	355	845	390	370	350	385	845	430	835	520	370	447	401	799	722	1124	877	418	725	725	486	670	670	534	849	317	782	430	691	481	435	545	675	417	431	454	745	740	778	718	328	331	518	456	464	547	554	706	92	175	245	246	636	638	626	645	700	1021	706	667	667	927	724	968	940	632	708	721		726	645	709		725	762	707	939	655	927
